label,trades,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps,sentiment_class,active_days,active_accounts,avg_daily_pnl,median_daily_pnl,median_realized_pnl
Extreme Fear,21400,114484261.43999955,739110.2484899987,23888.63393938686,715221.6145506119,10406,0.7621564482029598,71.02731582644616,64.5599874771749,Extreme Fear,14,32,52793.58917785717,22561.739636500046,6.38805
Fear,61837,483324789.7899972,3357155.441642069,92456.94867415531,3264698.4929679134,29808,0.8728864734299517,112.62598770940917,69.4596162365423,Fear,91,32,36891.81804002199,1412.314654,6.3504830000000005
Neutral,37686,180242063.0799999,1292920.6755499996,39374.26830387093,1253546.4072461287,18159,0.8238889806707418,71.19999314664902,71.73246097256114,Neutral,67,31,19297.323515671633,1818.573295,4.583458
Greed,50303,288582494.72000283,2150129.2729509794,63098.6919791688,2087030.5809718105,25176,0.7689068954559898,85.40392727005796,74.50657306976095,Greed,193,31,11140.56618109327,678.475928,4.9276
Extreme Greed,39992,124465164.5699988,2715171.310672991,27030.66546514956,2688140.6452078414,20853,0.8916702632714717,130.2053091005127,218.14708718325662,Extreme Greed,114,30,23817.292198885985,3127.5362965000004,8.53074
