date,sentiment_value,sentiment_class,trades,active_accounts,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps
2024-01-28,54.0,Neutral,11,1,18109.03,-2478.06972,-0.36217600000000005,-2477.707544,11,0.0,-225.27906545454545,-1368.4165965819263
2024-01-29,55.0,Greed,74,2,414208.18,486.5625419999999,103.26260500000006,383.29993699999983,45,1.0,10.81250093333333,11.746811518787482
2024-01-30,61.0,Greed,49,1,401011.38000000006,-173.65419099999997,100.25281000000001,-273.907001,19,0.2631578947368421,-9.139694263157892,-4.3304055610591385
2024-01-31,60.0,Greed,859,1,6305647.129999995,-799.8408169999998,1549.4114750000044,-2349.252292000004,436,0.5298165137614679,-1.8344972866972473,-1.2684515966563459
2024-02-01,63.0,Greed,6,1,2008.18,0.0,0.502044,-0.502044,0,,,0.0
2024-02-02,63.0,Greed,42,1,474278.42999999993,456.4234729999999,91.56963599999999,364.8538369999999,21,0.6190476190476191,21.73445109523809,9.623534281329217
2024-02-03,60.0,Greed,56,1,603820.0,223.30918699999998,109.66234900000002,113.64683799999996,12,0.5,18.609098916666664,3.698274104865688
2024-02-04,60.0,Greed,35,1,203187.53,47.62389499999998,50.52687999999999,-2.902985000000008,28,0.32142857142857145,1.7008533928571423,2.343839457076917
2024-02-05,60.0,Greed,72,1,770198.26,-33.454194000000044,165.549465,-199.00365900000003,32,0.4375,-1.0454435625000014,-0.434358213169685
2024-02-06,64.0,Greed,1088,1,8047153.410000001,-215.61590700000013,988.606996999999,-1204.222903999999,523,0.3422562141491396,-0.41226750860420674,-0.2679405946605411
2024-02-07,62.0,Greed,15,1,6758.73,241.24212,0.339693,240.902427,2,1.0,120.62106,356.93409856585487
2024-02-08,66.0,Greed,10,1,26051.12,770.7560239999999,3.0028870000000003,767.7531369999999,4,1.0,192.68900599999998,295.86291261181856
2024-02-11,71.0,Greed,34,1,212311.82,983.443176,24.955292000000007,958.487884,7,1.0,140.4918822857143,46.320698301206214
2024-02-12,70.0,Greed,16,1,227247.7,913.8817870000004,27.111911,886.7698760000004,15,0.4,60.92545246666669,40.215227128811435
2024-02-13,79.0,Extreme Greed,14,1,1999.99,559.44389,-0.039992,559.483882,14,1.0,39.960277857142856,2797.2334361671806
2024-02-14,74.0,Greed,111,2,320839.8800000002,3830.599833,22.917473999999995,3807.6823590000004,84,0.9880952380952381,45.60237896428572,119.39288323508904
2024-02-15,72.0,Greed,63,2,185188.04,1840.7976770000014,30.706297000000003,1810.0913800000014,60,0.95,30.679961283333355,99.40154218382577
2024-02-16,72.0,Greed,182,2,564896.5099999998,5491.768834000004,27.22517,5464.543664000004,146,1.0,37.61485502739729,97.21725549340013
2024-02-17,76.0,Extreme Greed,94,2,406118.0699999998,1929.6418,62.055053,1867.586747,65,0.9384615384615385,29.686796923076926,47.51430538414607
2024-02-18,72.0,Greed,97,1,157048.16999999987,477.6248299999999,-3.140925,480.7657549999999,68,0.8970588235294118,7.023894558823528,30.41263263366904
2024-02-19,75.0,Extreme Greed,101,2,286377.2000000001,4317.768563000001,14.852619999999998,4302.915943000002,79,0.9746835443037974,54.6552982658228,150.77207832886137
2024-02-20,72.0,Greed,39,2,119419.71999999997,3263.628824,3.0736750000000006,3260.555149,32,0.96875,101.98840075,273.29061096442035
2024-02-21,78.0,Extreme Greed,22,2,108047.52,1858.7985699999997,2.970629,1855.8279409999998,15,1.0,123.91990466666665,172.03528317910485
2024-02-22,74.0,Greed,88,2,373033.87,3894.105069999999,25.452580000000005,3868.652489999999,54,0.7407407407407407,72.11305685185184,104.39012066116139
2024-02-23,76.0,Extreme Greed,143,1,111106.14000000003,1418.5529299999992,-2.0670689999999996,1420.619998999999,138,0.9927536231884058,10.279369057971008,127.67547590079168
2024-02-25,74.0,Greed,5,1,4480.13,-30.7705,-0.08960000000000001,-30.680899999999998,2,0.0,-15.38525,-68.68215877664264
2024-02-26,72.0,Greed,39,2,192187.13999999998,4416.8473,-0.09772499999999981,4416.945025,34,1.0,129.90727352941178,229.82012740290537
2024-02-27,79.0,Extreme Greed,63,2,209362.29999999993,888.5117330000003,-3.761609,892.2733420000003,42,0.6190476190476191,21.155041261904767,42.438955485299914
2024-02-28,82.0,Extreme Greed,45,1,171107.12999999995,2503.747235,-1.3771519999999997,2505.124387,39,1.0,64.19864705128205,146.3262948189243
2024-02-29,80.0,Extreme Greed,116,2,395666.7299999999,9813.996992,1.359084999999999,9812.637907,100,1.0,98.13996992,248.03695251304052
2024-03-01,80.0,Extreme Greed,137,1,472974.6999999999,8244.241409000002,-0.5468539999999982,8244.788263000002,128,1.0,64.40813600781252,174.30618189514163
2024-03-02,80.0,Extreme Greed,31,2,63197.56000000001,230.90060000000022,-0.4691289999999996,231.36972900000023,28,0.75,8.246450000000008,36.536315642565974
2024-03-03,83.0,Extreme Greed,79,1,390745.68000000017,8361.086245000002,-2.507103,8363.593348000002,54,1.0,154.834930462963,213.9777014297381
2024-03-04,82.0,Extreme Greed,300,2,1577996.87,27799.775741999987,-0.5594489999999968,27800.335190999987,270,0.9851851851851852,102.96213237777773,176.1712983752622
2024-03-05,90.0,Extreme Greed,180,1,841810.3200000001,19791.026041,-4.438459000000003,19795.464500000002,163,1.0,121.41733767484664,235.10077710855336
2024-03-06,75.0,Extreme Greed,82,1,327218.02,6814.825139,-3.3553179999999996,6818.1804569999995,72,1.0,94.65034915277778,208.26558204221146
2024-03-08,81.0,Extreme Greed,67,1,183583.18,4271.886236,-3.671628999999999,4275.557865000001,59,1.0,72.40485145762712,232.6948599539457
2024-03-09,84.0,Extreme Greed,117,1,658178.7499999999,9949.501623999995,1.8517640000000017,9947.649859999996,107,0.9065420560747663,92.98599648598126,151.16716581931576
2024-03-10,79.0,Extreme Greed,42,1,219973.85,2482.9272,2.2810720000000018,2480.646128,38,0.7631578947368421,65.34018947368422,112.87374385637202
2024-03-11,82.0,Extreme Greed,42,1,176519.44999999998,3588.179495,8.47289,3579.706605,39,1.0,92.00460243589744,203.27388823158014
2024-03-12,81.0,Extreme Greed,8,1,103040.85,3039.1659999999997,4.945952999999999,3034.220047,7,1.0,434.1665714285714,294.9476833702361
2024-03-13,81.0,Extreme Greed,7,1,6000.799999999999,0.0,2.1002780000000003,-2.1002780000000003,0,,,0.0
2024-03-14,88.0,Extreme Greed,18,2,205933.18,3465.8658319999995,11.716792,3454.1490399999993,16,1.0,216.61661449999997,168.30050563003007
2024-03-15,83.0,Extreme Greed,62,3,351894.41000000003,6236.513650999999,49.48500300000003,6187.0286479999995,41,1.0,152.11008904878048,177.22684628607766
2024-03-16,81.0,Extreme Greed,8,2,37223.66,228.57984,10.52828,218.05156,1,1.0,228.57984,61.407137288488016
2024-03-17,79.0,Extreme Greed,23,3,99506.94999999998,503.29395499999987,33.763329,469.53062599999987,10,1.0,50.32939549999999,50.57877414592649
2024-03-18,77.0,Extreme Greed,19,3,90458.08000000002,1456.9577,24.943279999999998,1432.01442,6,1.0,242.82628333333332,161.06440685011216
2024-03-19,79.0,Extreme Greed,24,3,219884.84,668.797973,25.988312,642.809661,7,0.7142857142857143,95.54256757142856,30.415829167667944
2024-03-20,74.0,Greed,69,2,215705.8500000001,6423.134598999999,39.87883800000001,6383.255760999999,60,1.0,107.05224331666665,297.7728512694485
2024-03-21,78.0,Extreme Greed,28,3,117895.56999999993,2335.5080749999997,16.394750000000002,2319.113325,23,1.0,101.54382934782608,198.09973139788045
2024-03-24,74.0,Greed,19,1,92592.21000000002,1297.0184769999998,8.888837,1288.1296399999999,15,1.0,86.46789846666665,140.07857432066905
2024-03-25,75.0,Extreme Greed,7,1,57116.32,1302.916428,19.990712000000002,1282.925716,6,1.0,217.152738,228.11631211534635
2024-03-26,81.0,Extreme Greed,118,2,198565.18999999977,3215.9065930000006,28.147403000000015,3187.7591900000007,110,1.0,29.23551448181819,161.95721883578912
2024-03-27,83.0,Extreme Greed,38,2,99864.79000000001,150.41114000000002,31.717952,118.69318800000002,19,0.631578947368421,7.916375789473685,15.0614786252492
2024-03-28,80.0,Extreme Greed,13,2,35323.72,227.85100799999998,9.059229000000002,218.79177899999996,9,1.0,25.316778666666664,64.50368420993031
2024-03-29,79.0,Extreme Greed,15,1,86914.37000000002,883.097404,30.42002999999999,852.677374,6,1.0,147.18290066666665,101.60545419589415
2024-03-30,75.0,Extreme Greed,45,1,101103.91999999998,1100.5751400000001,9.939453999999998,1090.635686,44,1.0,25.013071363636367,108.85583269174928
2024-03-31,75.0,Extreme Greed,13,1,39912.95999999999,912.7861449999998,13.969522000000001,898.8166229999998,10,1.0,91.27861449999997,228.6941747743089
2024-04-01,79.0,Extreme Greed,77,2,339470.46999999986,2507.9634059999994,83.751362,2424.2120439999994,43,0.9767441860465116,58.32473037209301,73.87869130413613
2024-04-02,79.0,Extreme Greed,41,2,239664.50999999995,883.760812,80.13257399999998,803.628238,12,1.0,73.64673433333333,36.87491368663638
2024-04-03,71.0,Greed,4,2,16887.57,126.7884,1.661201,125.12719899999999,1,1.0,126.7884,75.0779419419135
2024-04-04,70.0,Greed,32,1,95987.73000000001,0.0,33.59568499999999,-33.59568499999999,0,,,0.0
2024-04-05,79.0,Extreme Greed,100,3,503791.7999999999,10706.484305999995,103.43013800000011,10603.054167999995,90,1.0,118.96093673333327,212.51803435466792
2024-04-06,75.0,Extreme Greed,16,1,68223.67,236.33513399999998,23.878276999999997,212.45685699999999,4,1.0,59.083783499999996,34.641222613793715
2024-04-07,78.0,Extreme Greed,23,1,49988.13999999999,0.0,17.495845000000003,-17.495845000000003,0,,,0.0
2024-04-08,76.0,Extreme Greed,30,2,211940.64,1218.4267,61.790547999999994,1156.636152,1,1.0,1218.4267,57.48905448242488
2024-04-09,80.0,Extreme Greed,3,1,57063.840000000004,0.0,19.972341,-19.972341,0,,,0.0
2024-04-10,78.0,Extreme Greed,41,1,351735.97,5207.443414,123.107562,5084.335852,36,1.0,144.65120594444446,148.04978330763274
2024-04-11,76.0,Extreme Greed,16,1,76400.96,389.743164,26.740328999999996,363.002835,2,1.0,194.871582,51.01286214204637
2024-04-12,79.0,Extreme Greed,129,3,442088.59000000026,-592.6458390000005,97.56087500000002,-690.2067140000005,101,0.7029702970297029,-5.867780584158421,-13.405590019864572
