label,trades,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps,direction,sentiment_class
Auto-Deleveraging | Greed,8,169507.75,57478.456026,0.0,57478.456026,8,1.0,7184.80700325,3390.9043112188087,Auto-Deleveraging,Greed
Buy | Extreme Fear,807,1194368.160000001,0.0,227.7943223868997,-227.7943223868997,0,,,0.0,Buy,Extreme Fear
Buy | Fear,3207,5245263.20000003,0.0,1476.2693321547895,-1476.2693321547895,0,,,0.0,Buy,Fear
Buy | Neutral,2885,4533327.349999991,0.0,628.8015868707969,-628.8015868707969,0,,,0.0,Buy,Neutral
Buy | Greed,4685,8803186.130000005,0.0,768.3266061683039,-768.3266061683039,0,,,0.0,Buy,Greed
Buy | Extreme Greed,5132,11420652.200000012,0.0,663.7902031500103,-663.7902031500103,0,,,0.0,Buy,Extreme Greed
Close Long | Extreme Fear,6241,42635958.85000022,506752.78981599835,9341.879639999994,497410.91017599835,6241,0.8464989585002404,81.19737058420098,118.85572729789698,Close Long,Extreme Fear
Close Long | Fear,17260,159250581.2899996,1432581.9175370012,30006.73609900019,1402575.181438001,17260,0.8988991888760139,83.00011109716114,89.95771983577447,Close Long,Fear
Close Long | Neutral,9993,75999621.92999947,527788.1593510013,15732.829252000032,512055.33009900124,9985,0.8619929894842263,52.858103089734726,69.44615590813439,Close Long,Neutral
Close Long | Greed,7998,76086336.02999982,711490.5176589988,16390.55443900007,695099.9632199988,7963,0.8667587592615849,89.34955640575146,93.510944905859,Close Long,Greed
Close Long | Extreme Greed,7186,28240750.79000015,444316.00318399695,7090.524024999943,437225.479158997,7185,0.8878218510786361,61.839388056227826,157.33151235530397,Close Long,Extreme Greed
Close Short | Extreme Fear,3117,12393421.549999982,384638.5433430014,2489.1877919999984,382149.3555510014,3117,0.7058068655758742,123.40023848026993,310.3570243223123,Close Short,Extreme Fear
Close Short | Fear,9221,75309305.26999962,1914986.4622429837,15644.837206999957,1899341.6250359837,9212,0.8624620060790273,207.8795551718393,254.28284796644405,Close Short,Fear
Close Short | Neutral,5850,20815400.249999985,554558.432743999,5396.556842999997,549161.875900999,5849,0.7767139681996923,94.81252055804393,266.41737659788663,Close Short,Neutral
Close Short | Greed,11322,51702249.449999444,624923.4011530014,11919.693471000048,613003.7076820013,11319,0.688753423447301,55.21012467117249,120.86967352500909,Close Short,Greed
Close Short | Extreme Greed,6497,19491848.220000032,188221.27096299938,4793.606983000006,183427.66397999937,6489,0.8596085683464324,29.006206035290397,96.56409635381364,Close Short,Extreme Greed
Liquidated Isolated Short | Greed,1,32910.88,-12752.91304,0.0,-12752.91304,1,0.0,-12752.91304,-3874.9839080571537,Liquidated Isolated Short,Greed
Long > Short | Extreme Fear,5,4261.54,6.659777999999999,0.5890880000000001,6.070689999999999,5,1.0,1.3319556,15.627632264392684,Long > Short,Extreme Fear
Long > Short | Fear,14,361187.44,67.1389820000004,52.778559,14.360423000000395,14,0.6428571428571429,4.795641571428599,1.858840440298821,Long > Short,Fear
Long > Short | Neutral,15,187224.95,709.9828940000001,41.530206,668.4526880000001,15,0.7333333333333333,47.33219293333334,37.92138248668247,Long > Short,Neutral
Long > Short | Greed,16,266185.16000000003,363.39057499999996,13.206033,350.18454199999996,16,0.625,22.711910937499997,13.651796929625977,Long > Short,Greed
Long > Short | Extreme Greed,7,73063.01000000001,844.206779,12.479368999999998,831.72741,7,0.8571428571428571,120.60096842857142,115.54503147351852,Long > Short,Extreme Greed
Open Long | Extreme Fear,7005,42461713.37999998,0.0,8394.270154999975,-8394.270154999975,0,,,0.0,Open Long,Extreme Fear
