label,trades,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps,crossed,sentiment_class
FALSE | Extreme Fear,9267,44073020.209999934,347088.8175719993,2737.0855139789905,344351.7320580203,3697,0.7736002163916689,93.88391062266683,78.75312740497114,FALSE,Extreme Fear
FALSE | Fear,24680,171621467.12999937,1995104.9719139724,7115.119041991366,1987989.852871981,10692,0.9189113355780022,186.59792105443063,116.25031560898647,FALSE,Fear
FALSE | Neutral,14367,46505607.34999996,367091.615412998,2429.0267280008957,364662.5886849971,5781,0.9041688289223317,63.49967400328629,78.93491480506347,FALSE,Neutral
FALSE | Greed,19393,64362645.16999963,1648100.2521659974,3170.963344228311,1644929.2888217692,11251,0.7576215447515776,146.48477932325991,256.0647170129361,FALSE,Greed
FALSE | Extreme Greed,15108,40637564.60000031,1322270.0702090103,2353.068188189999,1319917.0020208203,9268,0.9113077255071212,142.67048664318196,325.38122872870196,FALSE,Extreme Greed
TRUE | Extreme Fear,12133,70411241.22999988,392021.43091800035,21151.548425407964,370869.8824925924,6709,0.755850350275749,58.43217035593983,55.67597219845247,TRUE,Extreme Fear
TRUE | Fear,37157,311703322.65999436,1362050.4697279932,85341.82963216462,1276708.6400958286,19116,0.8471437539234149,71.25185549947652,43.697014780099614,TRUE,Fear
TRUE | Neutral,23319,133736455.7299998,925829.0601369974,36945.24157586991,888883.8185611274,12378,0.7863952173210534,74.79633706067195,69.22787470950713,TRUE,Neutral
TRUE | Greed,30910,224219849.5500003,502029.0207849993,59927.72863493987,442101.2921500594,13925,0.7780251346499102,36.05235337773783,22.390034682145675,TRUE,Greed
TRUE | Extreme Greed,24884,83827599.96999979,1392901.240463999,24677.597276959732,1368223.6431870393,11585,0.8759602934829521,120.23316706637885,166.1626052711148,TRUE,Extreme Greed
